Año,Campeón,Subcampeón,Notas,Unnamed: 4
1933,Magallanes (1),Colo-Colo,Primer campeonato profesional.,
1934,Magallanes (2),Audax Italiano,Campeón invicto.,
1935,Magallanes (3),Audax Italiano,Primer equipo tricampeón.,
1936,Audax Italiano (1),Magallanes,,
1937,Colo-Colo (1),Magallanes,Campeón invicto.,
1938,Magallanes (4),Audax Italiano,,
1939,Colo-Colo (2),Santiago Morning,,
1940,Universidad de Chile (1),Audax Italiano,Torneo ampliado a 10 equipos.,
1941,Colo-Colo (3),Santiago Morning,,
1942,Santiago Morning (1),Magallanes,,
1943,Unión Española (1),Colo-Colo,,
1944,Colo-Colo (4),Audax Italiano,Torneo ampliado a 12 equipos.,
1945,Green Cross (1),Unión Española,,
1946,Audax Italiano (2),Magallanes,Torneo ampliado a 13 equipos.,
1947,Colo-Colo (5),Audax Italiano,,
1948,Audax Italiano (3),Unión Española,,
1949,Universidad Católica (1),Santiago Wanderers,,
1950,Everton (1),Unión Española,Primer equipo campeón fuera de Santiago.,
1951,Unión Española (2),Audax Italiano,,
1952,Everton (2),Colo-Colo,,
1953,Colo-Colo (6),Palestino,Torneo ampliado a 14 equipos.,
1954,Universidad Católica (2),Colo-Colo,Torneo dividido en etapas.,
1955,Palestino (1),Colo-Colo,,
1956,Colo-Colo (7),Santiago Wanderers,,
1957,Audax Italiano (4),Universidad de Chile,,
1958,Santiago Wanderers (1),Colo-Colo,,
1959,Universidad de Chile (2),Colo-Colo,,
1960,Colo-Colo (8),Santiago Wanderers,,
1961,Universidad Católica (3),Universidad de Chile,,
1962,Universidad de Chile (3),Universidad Católica,Torneo ampliado a 18 equipos.,
1963,Colo-Colo (9),Universidad de Chile,Equipo campeón con mayor cantidad de goles convertidos.,
1964,Universidad de Chile (4),Universidad Católica,,
1965,Universidad de Chile (5),Universidad Católica,,
1966,Universidad Católica (4),Colo-Colo,,
1967,Universidad de Chile (6),Universidad Católica,,
1968,Santiago Wanderers (2),Universidad Católica,Torneo dividido en dos grupos.,
1969,Universidad de Chile (7),Rangers,,
1970,Colo-Colo (10),Unión Española,,
1971,Unión San Felipe (1),Universidad de Chile,,
1972,Colo-Colo (11),Unión Española,,
1973,Unión Española (3),Colo-Colo,,
1974,Huachipato (1),Palestino,Primer equipo campeón del Sur de Chile.,
1975,Unión Española (4),Deportes Concepción,,
1976,Everton (3),Unión Española,,
1977,Unión Española (5),Everton,,
1978,Palestino (2),Cobreloa,,
1979,Colo-Colo (12),Cobreloa,,
1980,Cobreloa (1),Universidad de Chile,Primer equipo campeón del Norte de Chile.,
1981,Colo-Colo (13),Cobreloa,,
1982,Cobreloa (2),Colo-Colo,,
1983,Colo-Colo (14),Cobreloa,Torneo ampliado a 22 equipos.,
1984,Universidad Católica (5),Cobresal,Torneo ampliado a 26 equipos.,
1985,Cobreloa (3),Everton,,
1986,Colo-Colo (15),Palestino,,
1987,Universidad Católica (6),Colo-Colo,,
1988,Cobreloa (4),Cobresal,,
1989,Colo-Colo (16),Universidad Católica,,
1990,Colo-Colo (17),Universidad Católica,,
1991,Colo-Colo (18),Coquimbo Unido,Segundo equipo tricampeón.,
1992,Cobreloa (5),Colo-Colo,,
1993,Colo-Colo (19),Cobreloa,,
1994,Universidad de Chile (8),Universidad Católica,,
1995,Universidad de Chile (9),Universidad Católica,,
1996,Colo-Colo (20),Universidad Católica,,
Apertura 1997,Universidad Católica (7),Colo-Colo,"Primer torneo ""apertura"".",
Clausura 1997,Colo-Colo (21),Universidad Católica,"Primer torneo ""clausura"".",
1998,Colo-Colo (22),Universidad de Chile,,
1999,Universidad de Chile (10),Universidad Católica,,
2000,Universidad de Chile (11),Cobreloa,,
2001,Santiago Wanderers (3),Universidad Católica,,
Apertura 2002,Universidad Católica (8),Rangers,,
Clausura 2002,Colo-Colo (23),Universidad Católica,,
Apertura 2003,Cobreloa (6),Colo-Colo,,
Clausura 2003,Cobreloa (7),Colo-Colo,,
Apertura 2004,Universidad de Chile (12),Cobreloa,,
Clausura 2004,Cobreloa (8),Unión Española,,
Apertura 2005,Unión Española (6),Coquimbo Unido,,
Clausura 2005,Universidad Católica (9),Universidad de Chile,,
Apertura 2006,Colo-Colo (24),Universidad de Chile,,
Clausura 2006,Colo-Colo (25),Audax Italiano,,
Apertura 2007,Colo-Colo (26),Universidad Católica,,
Clausura 2007,Colo-Colo (27),Universidad de Concepción,Primer equipo tetracampeón.,
Apertura 2008,Everton (4),Colo-Colo,,
Clausura 2008,Colo-Colo (28),Palestino,,
Apertura 2009,Universidad de Chile (13),Unión Española,,
Clausura 2009,Colo-Colo (29),Universidad Católica,,
2010,Universidad Católica (10),Colo-Colo,,
Apertura 2011,Universidad de Chile (14),Universidad Católica,,
Clausura 2011,Universidad de Chile (15),Cobreloa,,
Apertura 2012,Universidad de Chile (16),O'Higgins,,
Clausura 2012,Huachipato (2),Unión Española,,
Transición 2013,Unión Española (7),Universidad Católica,,
Apertura 2013,O'Higgins (1),Universidad Católica,,
Clausura 2014,Colo-Colo (30),Universidad Católica,,
Apertura 2014,Universidad de Chile (17),Santiago Wanderers,,
Clausura 2015,Cobresal (1),Colo-Colo,,
Apertura 2015,Colo-Colo (31),Universidad Católica,,
Clausura 2016,Universidad Católica (11),Colo-Colo,,
Apertura 2016,Universidad Católica (12),Deportes Iquique,,
Clausura 2017,Universidad de Chile (18),Colo-Colo,,
Transición 2017,Colo-Colo (32),Unión Española,,
2018,Universidad Católica (13),Universidad de Concepción,,
2019,Universidad Católica (14),Colo-Colo,Torneo suspendido por el Estallido social 2019.,
2020,Universidad Católica (15),Unión La Calera,Torneo en Pandemia de COVID-19.,
2021,Universidad Católica (16),Colo-Colo,"Primer equipo tetracampeón de torneos largos (2 ruedas, todos contra todos), segundo equipo tetracampeón en total.",
2022,Colo-Colo (33),Ñublense,,
2023,Huachipato (3),Cobresal,,
